ts_event,open,high,low,close,volume
2025-06-16 19:10:00+00:00,21924.0,21936.75,21916.0,21926.25,996
2025-06-16 19:15:00+00:00,21926.0,21939.5,21922.75,21924.5,629
2025-06-16 19:20:00+00:00,21924.0,21957.0,21916.25,21944.25,2599
2025-06-16 19:25:00+00:00,21944.75,21955.5,21938.5,21939.25,1001
2025-06-16 19:30:00+00:00,21940.0,21946.0,21925.75,21931.5,846
2025-06-16 19:35:00+00:00,21930.75,21944.0,21930.0,21930.0,839
2025-06-16 19:40:00+00:00,21930.25,21938.75,21928.75,21938.0,532
2025-06-16 19:45:00+00:00,21938.0,21950.5,21936.0,21945.5,1340
2025-06-16 19:50:00+00:00,21945.75,21953.25,21920.0,21939.5,2378
2025-06-16 19:55:00+00:00,21939.25,21957.25,21914.25,21948.5,6682
2025-06-16 20:00:00+00:00,21949.0,21964.5,21943.5,21954.5,3118
2025-06-16 20:05:00+00:00,21955.0,21956.0,21945.0,21946.0,501
2025-06-16 20:10:00+00:00,21947.0,21950.0,21943.25,21946.75,486
2025-06-16 20:15:00+00:00,21946.25,21948.75,21943.25,21945.75,224
2025-06-16 20:20:00+00:00,21945.5,21946.0,21939.0,21939.5,159
2025-06-16 20:25:00+00:00,21939.75,21944.25,21934.25,21943.25,340
2025-06-16 20:30:00+00:00,21942.0,21943.25,21939.0,21942.0,120
2025-06-16 20:35:00+00:00,21941.25,21950.0,21941.0,21950.0,172
2025-06-16 20:40:00+00:00,21948.0,21957.25,21943.25,21945.75,294
2025-06-16 20:45:00+00:00,21945.5,21947.0,21942.0,21946.75,178
2025-06-16 20:50:00+00:00,21946.75,21948.0,21929.75,21942.25,175
2025-06-16 20:55:00+00:00,21941.5,21943.75,21935.5,21936.0,160
2025-06-16 22:00:00+00:00,21950.0,21952.0,21932.75,21936.75,122
2025-06-16 22:05:00+00:00,21938.0,21938.0,21928.5,21930.5,61
