ts_event,open,high,low,close,volume
2025-06-12 22:55:00+00:00,21878.75,21884.75,21878.0,21881.0,147
2025-06-12 23:00:00+00:00,21880.5,21881.25,21871.25,21876.5,245
2025-06-12 23:05:00+00:00,21876.75,21884.5,21875.75,21883.0,199
2025-06-12 23:10:00+00:00,21883.25,21885.0,21879.5,21883.0,166
2025-06-12 23:15:00+00:00,21883.0,21889.0,21879.0,21880.75,177
2025-06-12 23:20:00+00:00,21880.5,21888.5,21879.5,21885.25,86
2025-06-12 23:25:00+00:00,21885.5,21885.5,21879.0,21879.25,60
2025-06-12 23:30:00+00:00,21880.5,21880.5,21871.75,21874.5,164
2025-06-12 23:35:00+00:00,21873.75,21878.25,21870.75,21875.5,141
2025-06-12 23:40:00+00:00,21876.0,21885.0,21856.0,21868.75,899
2025-06-12 23:45:00+00:00,21869.5,21877.0,21862.25,21872.25,256
2025-06-12 23:50:00+00:00,21871.25,21873.25,21869.5,21870.75,24
